,Start_date,End_Date,Name,Country,Category,Class,Season,Race_Days,uci_name,continent,name,country,latitude,longitude,Continent
2605,2008-01-22,2008-01-27,Tour Down Under,AUSTRALIA,ME,2.UWT,2008,6.0,AUSTRALIA,OCEANIA,Australia,AU,-25.274398,133.775136,Oceania
2606,2008-01-22,2008-01-27,Tour de San Luis,ARGENTINA,ME,2.2,2008,6.0,ARGENTINA,AMERICAS,Argentina,AR,-38.416097,-63.616672,Americas
2607,2008-01-27,2008-02-01,Tour of Qatar,QATAR,ME,2.1,2008,6.0,QATAR,ASIA,Qatar,QA,25.354826,51.183884,Asia
2608,2008-02-02,2008-02-02,Intaka Tech Worlds View Challenge 1,SOUTH AFRICA,ME,1.1,2008,1.0,SOUTH AFRICA,AFRICA,South Africa,ZA,-30.559482,22.937506,Africas
2609,2008-01-30,2008-02-03,Tour of Wellington,NEW ZEALAND,ME,2.2,2008,5.0,NEW ZEALAND,OCEANIA,New Zealand,NZ,-40.900557,174.885971,Oceania
2610,2008-02-03,2008-02-03,Grand Prix Cycliste la Marseillaise,FRANCE,ME,1.1,2008,1.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2611,2008-02-03,2008-02-03,Intaka Tech Worlds View Challenge 2,SOUTH AFRICA,ME,1.1,2008,1.0,SOUTH AFRICA,AFRICA,South Africa,ZA,-30.559482,22.937506,Africas
2612,2008-02-04,2008-02-04,Intaka Tech Worlds View Challenge 3,SOUTH AFRICA,ME,1.1,2008,1.0,SOUTH AFRICA,AFRICA,South Africa,ZA,-30.559482,22.937506,Africas
2613,2008-02-06,2008-02-06,Intaka Tech Worlds View Challenge 4,SOUTH AFRICA,ME,1.1,2008,1.0,SOUTH AFRICA,AFRICA,South Africa,ZA,-30.559482,22.937506,Africas
2614,2008-02-07,2008-02-07,Intaka Tech Worlds View Challenge 5,SOUTH AFRICA,ME,1.1,2008,1.0,SOUTH AFRICA,AFRICA,South Africa,ZA,-30.559482,22.937506,Africas
2615,2008-02-09,2008-02-09,G.P. Costa degli Etruschi - Ouverture Nobili Rubinetterie,ITALY,ME,1.1,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2616,2008-02-06,2008-02-10,Etoile de Bessèges,FRANCE,ME,2.1,2008,5.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2617,2008-02-10,2008-02-10,Trofeo Mallorca,SPAIN,ME,1.1,2008,1.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2618,2008-02-11,2008-02-11,Trofeo Cala Millor-Cala Bona,SPAIN,ME,1.1,2008,1.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2619,2008-02-12,2008-02-12,Trofeo Pollença,SPAIN,ME,1.1,2008,1.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2620,2008-02-11,2008-02-13,Giro della Provincia di Reggio Calabria-Challenge Calabria,ITALY,ME,2.1,2008,3.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2621,2008-02-13,2008-02-13,Trofeo Soller,SPAIN,ME,1.1,2008,1.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2622,2008-02-14,2008-02-14,Trofeo Calvia,SPAIN,ME,1.1,2008,1.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2623,2008-02-05,2008-02-17,Vuelta a Cuba,CUBA,ME,2.2,2008,13.0,CUBA,AMERICAS,Cuba,CU,21.521757,-77.781167,Americas
2624,2008-02-09,2008-02-17,Le Tour de Langkawi,MALAYSIA,ME,2.HC,2008,9.0,MALAYSIA,ASIA,Malaysia,MY,4.210484,101.975766,Asia
2625,2008-02-11,2008-02-17,Tour d'Egypte,EGYPT,ME,2.2,2008,7.0,EGYPT,AFRICA,Egypt,EG,26.820553,30.802498,Africas
2626,2008-02-13,2008-02-17,Tour Méditerranéen Cycliste Professionnel,FRANCE,ME,2.1,2008,5.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2627,2008-02-13,2008-02-17,M&M Engineering Tour of Belize,BELIZE,ME,2.2,2008,5.0,BELIZE,AMERICAS,Belize,BZ,17.189877,-88.49765,Americas
2628,2008-02-15,2008-02-17,Giro della Provincia di Grosseto,ITALY,ME,2.1,2008,3.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2629,2008-02-19,2008-02-19,Grand Prix of Sharm el-Sheikh,EGYPT,ME,1.2,2008,1.0,EGYPT,AFRICA,Egypt,EG,26.820553,30.802498,Africas
2630,2008-02-17,2008-02-21,Vuelta a Andalucia  Ruta Ciclista Del Sol,SPAIN,ME,2.1,2008,5.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2631,2008-02-21,2008-02-22,Geelong Tour,AUSTRALIA,WE,2.2,2008,2.0,AUSTRALIA,OCEANIA,Australia,AU,-25.274398,133.775136,Oceania
2632,2008-02-23,2008-02-23,Coppa San Geo,ITALY,ME,1.2,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2633,2008-02-23,2008-02-23,Les Boucles du Sud Ardèche - Souvenir Francis Delpech,FRANCE,ME,1.2,2008,1.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2634,2008-02-23,2008-02-23,Trofeo Laigueglia,ITALY,ME,1.1,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2635,2008-02-17,2008-02-24,Amgen Tour of California,UNITED STATES OF AMERICA,ME,2.HC,2008,8.0,UNITED STATES OF AMERICA,AMERICAS,United States,US,37.09024,-95.712891,Americas
2636,2008-02-20,2008-02-24,Volta ao Algarve,PORTUGAL,ME,2.1,2008,5.0,PORTUGAL,EUROPE,Portugal,PT,39.399872,-8.224454,Europe
2637,2008-02-21,2008-02-24,UAQ International Race,UNITED ARAB EMIRATES,ME,2.2,2008,4.0,UNITED ARAB EMIRATES,ASIA,United Arab Emirates,AE,23.424076,53.847818,Asia
2638,2008-02-24,2008-02-24,Tour du Haut Var,FRANCE,ME,1.1,2008,1.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2639,2008-02-26,2008-03-01,Volta a la Comunitat Valenciana,SPAIN,ME,2.1,2008,5.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2640,2008-03-01,2008-03-01,Beverbeek Classic,BELGIUM,ME,1.2,2008,1.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
2641,2008-03-01,2008-03-01,Omloop Het Volk / Circuit Het Volk,BELGIUM,ME,1.HC,2008,1.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
2642,2008-02-23,2008-03-02,Vuelta Independencia Nacional,DOMINICAN REPUBLIC,ME,2.2,2008,9.0,DOMINICAN REPUBLIC,AMERICAS,Dominican Republic,DO,18.735693,-70.162651,Americas
2643,2008-02-27,2008-03-02,Women's Tour of New Zealand,NEW ZEALAND,WE,2.2,2008,5.0,NEW ZEALAND,OCEANIA,New Zealand,NZ,-40.900557,174.885971,Oceania
2644,2008-02-29,2008-03-02,Les 3 Jours de Vaucluse,FRANCE,ME,2.2,2008,3.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2645,2008-03-02,2008-03-02,GP di Lugano,SWITZERLAND,ME,1.1,2008,1.0,SWITZERLAND,EUROPE,Switzerland,CH,46.818188,8.227512,Europe
2646,2008-03-02,2008-03-02,Kuurne-Bruxelles-Kuurne,BELGIUM,ME,1.1,2008,1.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
2647,2008-03-02,2008-03-02,Clasica de Almeria,SPAIN,ME,1.1,2008,1.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2648,2008-03-02,2008-03-02,Trofeo Zssdi - Unione dei Circoli Sportivi Sloveni in Italia,ITALY,ME,1.2,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2649,2008-03-05,2008-03-05,Le Samyn,BELGIUM,ME,1.1,2008,1.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
2650,2008-03-02,2008-03-07,Taftan Tour,ISLAMIC REPUBLIC OF IRAN,ME,2.2,2008,6.0,ISLAMIC REPUBLIC OF IRAN,ASIA,Iran,IR,32.427908,53.688046,Asia
2651,2008-03-04,2008-03-08,Vuelta Ciclista a Murcia - Costa Calida,SPAIN,ME,2.1,2008,5.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2652,2008-03-04,2008-03-08,Giro del Capo,SOUTH AFRICA,ME,2.2,2008,5.0,SOUTH AFRICA,AFRICA,South Africa,ZA,-30.559482,22.937506,Africas
2653,2008-03-08,2008-03-08,Gran Premio Brissag Lago maggiore,SWITZERLAND,WE,1.2,2008,1.0,SWITZERLAND,EUROPE,Switzerland,CH,46.818188,8.227512,Europe
2654,2008-03-08,2008-03-08,Eroica,ITALY,ME,1.1,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2655,2008-03-08,2008-03-08,De Vlaamse Pijl,BELGIUM,ME,1.2,2008,1.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
