,Start_date,End_Date,Name,Country,Category,Class,Season,Race_Days,Continent
3027,2012-03-31,2012-03-31,Volta Limburg Classic,NETHERLANDS,ME,1.1,2012,1.0,Europe
3028,2012-03-23,2012-04-01,Tour du Maroc,MOROCCO,ME,2.2,2012,10.0,Africas
3029,2012-03-30,2012-04-01,Le Triptyque des Monts et Châteaux,BELGIUM,ME,2.2,2012,3.0,Europe
3030,2012-04-01,2012-04-01,Trofeo Piva Banca Popolare di Vicenza,ITALY,MU,1.2U,2012,1.0,Europe
3031,2012-04-01,2012-04-01,Ronde van Vlaanderen / Tour des Flandres,BELGIUM,ME,1.UWT,2012,1.0,Europe
3032,2012-04-01,2012-04-01,Trofeo Citta di Loano,ITALY,MJ,1.1,2012,1.0,Europe
3033,2012-04-01,2012-04-01,Flèche d'Emeraude - Saint Malo,FRANCE,ME,1.1,2012,1.0,Europe
3034,2012-04-01,2012-04-01,Ronde van Vlaanderen / Tour des Flandres,BELGIUM,WE,CDM,2012,1.0,Europe
3035,2012-04-01,2012-04-01,Grand Prix de la Ville de Nogent-sur-Oise,FRANCE,ME,1.2,2012,1.0,Europe
3036,2012-04-02,2012-04-02,Grand Prix de Dottignies,BELGIUM,WE,1.2,2012,1.0,Europe
3037,2012-04-03,2012-04-03,Les challenges Phosphatiers-Challenge Khouribga,MOROCCO,ME,1.2,2012,1.0,Africas
3038,2012-03-23,2012-04-04,Tour de Pakistan,PAKISTAN,ME,2.2,2012,13.0,Asia
3039,2012-04-04,2012-04-04,Scheldeprijs,BELGIUM,ME,1.HC,2012,1.0,Europe
3040,2012-04-04,2012-04-04,Les challenges Phosphatiers-Challenge Youssoufia,MOROCCO,ME,1.2,2012,1.0,Africas
3041,2012-04-05,2012-04-05,Grand Prix Pino Cerami,BELGIUM,ME,1.1,2012,1.0,Europe
3042,2012-04-05,2012-04-05,Les challenges Phosphatiers-Challenge Ben Guerir,MOROCCO,ME,1.2,2012,1.0,Africas
3043,2012-04-01,2012-04-06,Princess Maha Chakri Sirindhon's Cup Tour of Thailand,THAILAND,ME,2.2,2012,6.0,Asia
3044,2012-04-03,2012-04-06,Circuit Cycliste Sarthe - Pays de la Loire,FRANCE,ME,2.1,2012,4.0,Europe
3045,2012-04-02,2012-04-07,Vuelta Ciclista al Pais Vasco,SPAIN,ME,2.UWT,2012,6.0,Europe
3046,2012-04-07,2012-04-07,Ronde van Vlaanderen Beloften,BELGIUM,MU,1.Ncup,2012,1.0,Europe
3048,2012-03-30,2012-04-08,Vuelta Ciclista al Uruguay,URUGUAY,ME,2.2,2012,10.0,Americas
3049,2012-04-04,2012-04-08,Energiewacht Tour,NETHERLANDS,WE,2.2,2012,5.0,Europe
3050,2012-04-04,2012-04-08,Grand Prix of Sochi,RUSSIAN FEDERATION,ME,2.2,2012,5.0,Asia
3051,2012-04-06,2012-04-08,Circuit des Ardennes International,FRANCE,ME,2.2,2012,3.0,Europe
